Customer_ID,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance
17,Male,Loyal,70,Business,Business,2247
20,Male,Loyal,38,Personal,Economy Plus,4189
35,Female,Loyal,15,Business,Economy,4807
44,Female,Loyal,81,Business,Economy Plus,1446
49,Male,Loyal,55,Business,Economy,4650
53,Female,Disloyal,49,Personal,Economy Plus,955
55,Female,Loyal,14,Business,Economy,2352
61,Female,Loyal,40,Business,Economy,3496
63,Male,Loyal,40,Personal,Economy,757
69,Female,Loyal,84,Business,Business,1902
75,Male,Loyal,30,Personal,Business,2978
78,Female,Loyal,14,Business,Economy Plus,3244
79,Female,Loyal,62,Personal,Economy,2753
90,Female,Loyal,72,Personal,Economy Plus,3781
93,Female,Loyal,54,Business,Economy,1984
100,Male,Disloyal,60,Personal,Economy,2800
105,Male,Loyal,11,Personal,Business,3281
107,Male,Loyal,83,Personal,Economy,4302
110,Male,Loyal,43,Personal,Economy,283
126,Female,Loyal,18,Personal,Economy,1710
128,Male,Loyal,76,Business,Economy,4099
129,Female,Loyal,58,Personal,Economy,1221
130,Female,Loyal,27,Personal,Economy,2760
134,Female,Loyal,72,Personal,Economy,3587
135,Male,Disloyal,82,Personal,Economy Plus,2295
136,Male,Loyal,9,Personal,Economy,471
149,Male,Loyal,63,Personal,Economy,4325
172,Male,Disloyal,25,Personal,Economy,3016
173,Male,Loyal,18,Business,Economy,2275
175,Male,Loyal,84,Personal,Business,2673
195,Female,Disloyal,19,Business,Economy Plus,1341
196,Male,Disloyal,49,Business,Economy Plus,4246
197,Female,Loyal,12,Business,Economy,4764
199,Female,Loyal,63,Personal,Economy Plus,4892
200,Female,Disloyal,69,Personal,Economy,3949
211,Female,Loyal,45,Business,Business,1306
227,Male,Loyal,13,Business,Economy Plus,3717
229,Female,Loyal,23,Business,Economy,2611
231,Male,Disloyal,27,Personal,Economy,1123
233,Female,Loyal,74,Personal,Economy,3140
245,Male,Loyal,83,Business,Economy,4674
255,Male,Loyal,53,Business,Economy,2356
259,Female,Loyal,11,Personal,Economy,3650
263,Female,Loyal,31,Personal,Economy,3382
269,Female,Loyal,66,Personal,Economy,856
271,Female,Loyal,53,Business,Business,1251
284,Female,Disloyal,42,Business,Economy,1864
286,Female,Loyal,60,Personal,Economy Plus,763
287,Male,Disloyal,43,Personal,Economy,2750
289,Female,Loyal,75,Personal,Economy,1434
295,Male,Loyal,38,Business,Economy,4908
297,Female,Loyal,41,Personal,Economy,4609
300,Female,Loyal,14,Personal,Economy,4297
302,Male,Disloyal,36,Personal,Economy,1611
303,Male,Loyal,39,Personal,Economy Plus,4867
306,Male,Loyal,26,Business,Economy Plus,703
308,Female,Loyal,19,Business,Economy,4623
324,Male,Disloyal,70,Personal,Business,1231
325,Female,Loyal,31,Personal,Economy,1459
328,Female,Disloyal,28,Personal,Economy Plus,1991
331,Male,Loyal,38,Business,Economy Plus,1626
346,Male,Loyal,11,Business,Economy Plus,3557
347,Female,Disloyal,46,Personal,Business,1372
348,Male,Loyal,21,Business,Business,4937
356,Male,Loyal,12,Personal,Economy,387
358,Female,Loyal,65,Personal,Business,1053
364,Male,Loyal,43,Personal,Economy Plus,61
365,Female,Loyal,70,Business,Economy,4487
368,Female,Loyal,53,Personal,Economy,2968
371,Female,Disloyal,41,Personal,Economy,1931
372,Male,Loyal,32,Business,Economy Plus,3202
376,Male,Loyal,48,Personal,Economy Plus,2410
388,Female,Disloyal,11,Personal,Economy,1199
390,Female,Loyal,43,Personal,Economy,1733
391,Male,Disloyal,75,Personal,Economy,442
404,Female,Loyal,58,Business,Economy,2465
409,Male,Loyal,50,Personal,Economy,4156
422,Female,Loyal,44,Business,Economy Plus,1750
423,Male,Loyal,63,Personal,Economy,4298
433,Male,Loyal,55,Personal,Economy Plus,4143
436,Male,Disloyal,58,Business,Business,4847
437,Female,Loyal,15,Personal,Economy,2484
438,Male,Loyal,61,Personal,Economy,219
446,Male,Loyal,23,Business,Economy,4899
447,Male,Loyal,22,Business,Economy,191
451,Female,Disloyal,35,Business,Economy,930
459,Male,Loyal,50,Personal,Economy,4654
464,Female,Loyal,38,Personal,Business,3969
467,Female,Disloyal,74,Personal,Economy,1460
478,Female,Loyal,49,Personal,Economy Plus,487
484,Female,Loyal,77,Business,Economy Plus,673
487,Male,Loyal,40,Personal,Economy,2280
500,Female,Loyal,62,Personal,Economy Plus,4659
514,Male,Loyal,54,Personal,Economy,1342
516,Male,Loyal,73,Personal,Business,4743
517,Male,Loyal,42,Personal,Economy,2327
521,Male,Loyal,25,Personal,Business,2241
544,Female,Loyal,59,Personal,Economy Plus,3396
546,Male,Loyal,82,Business,Business,4840
547,Female,Loyal,53,Personal,Economy,1666
548,Male,Disloyal,18,Personal,Economy,2188
550,Female,Disloyal,38,Personal,Economy Plus,2958
552,Female,Loyal,7,Business,Business,1915
553,Female,Loyal,64,Personal,Economy,337
556,Male,Disloyal,14,Personal,Economy,451
557,Male,Loyal,49,Personal,Business,4322
560,Male,Loyal,55,Personal,Economy,946
563,Female,Disloyal,32,Personal,Economy,1215
568,Female,Loyal,56,Personal,Economy,1741
577,Female,Loyal,81,Personal,Economy,719
578,Male,Loyal,56,Personal,Economy,3259
584,Female,Loyal,72,Business,Economy,2244
586,Male,Disloyal,53,Personal,Economy,1301
589,Female,Loyal,67,Business,Economy Plus,1338
592,Male,Loyal,60,Personal,Economy Plus,2253
593,Male,Disloyal,84,Personal,Business,4574
595,Female,Loyal,85,Personal,Economy,2832
596,Male,Loyal,69,Business,Economy Plus,581
597,Female,Loyal,47,Personal,Economy,4367
603,Female,Loyal,20,Personal,Economy,4588
607,Female,Loyal,62,Business,Economy,4413
609,Female,Loyal,50,Personal,Economy,4136
615,Female,Loyal,16,Personal,Business,716
618,Male,Disloyal,9,Business,Economy,3228
621,Male,Disloyal,19,Business,Economy,2674
630,Female,Loyal,39,Personal,Economy,1280
632,Male,Loyal,31,Personal,Economy,1285
635,Male,Loyal,29,Business,Economy,1413
639,Male,Loyal,17,Business,Economy Plus,2411
649,Male,Disloyal,30,Personal,Economy,186
651,Female,Disloyal,15,Business,Economy Plus,186
652,Female,Disloyal,19,Business,Economy Plus,123
655,Male,Disloyal,13,Personal,Economy,1296
662,Male,Loyal,40,Personal,Economy,760
674,Female,Loyal,77,Personal,Economy Plus,2131
680,Female,Disloyal,76,Personal,Economy,2221
686,Male,Disloyal,65,Business,Economy Plus,128
693,Male,Loyal,39,Personal,Economy,1318
701,Male,Loyal,66,Personal,Economy,350
708,Male,Disloyal,32,Business,Economy Plus,4396
719,Male,Loyal,61,Personal,Economy,3812
726,Male,Loyal,25,Personal,Economy,2408
731,Male,Disloyal,11,Personal,Economy,3462
737,Male,Loyal,44,Personal,Economy Plus,4781
